Target image : 200 x 200 (loaded from target.ppm)
State vector : length 2000  (200 triangles x (3 vertices x 2 coords + 4 RGBA))
Solver       : GA

Resumed from ga_checkpoint.bin at generation 120000  (best=0.011525)

Gen 120051 | best=0.011523
Gen 120148 | best=0.011522
Gen 120228 | best=0.011521
Gen 120410 | best=0.011519
Gen 120524 | best=0.011518
Gen 120629 | best=0.011517
Gen 120895 | best=0.011515
Gen 120942 | best=0.011511
Gen 121042 | best=0.011504
Gen 121255 | best=0.011502
Gen 121282 | best=0.011499
Gen 121572 | best=0.011498
Gen 121715 | best=0.011497
Gen 121794 | best=0.011495
Gen 121913 | best=0.011494
Gen 121980 | best=0.011491
Gen 122254 | best=0.011489
Gen 122277 | best=0.011482
Gen 122359 | best=0.011481
Gen 122546 | best=0.011478
Gen 122666 | best=0.011476
Gen 122740 | best=0.011474
Gen 122810 | best=0.011472
Gen 122815 | best=0.011471
Gen 122950 | best=0.011468
Gen 123068 | best=0.011467
Gen 123232 | best=0.011465
Gen 123307 | best=0.011464
Gen 123492 | best=0.011462
Gen 123754 | best=0.011461
Gen 123885 | best=0.011460
Gen 124185 | best=0.011458
Gen 124440 | best=0.011457
Gen 124456 | best=0.011453
Gen 124576 | best=0.011450
Gen 124604 | best=0.011444
Gen 124756 | best=0.011442
Gen 124862 | best=0.011440
Gen 124938 | best=0.011435
Gen 124963 | best=0.011433
Gen 125035 | best=0.011432
Gen 125082 | best=0.011430
Gen 125314 | best=0.011428
Gen 125478 | best=0.011427
Gen 125634 | best=0.011426
Gen 125871 | best=0.011422
Gen 126023 | best=0.011420
Gen 126033 | best=0.011419
Gen 126086 | best=0.011418
Gen 126147 | best=0.011416
Gen 126156 | best=0.011413
Gen 126162 | best=0.011411
Gen 126450 | best=0.011410
Gen 126691 | best=0.011408
Gen 126926 | best=0.011407
Gen 126927 | best=0.011405
Gen 126972 | best=0.011402
Gen 127027 | best=0.011401
Gen 127330 | best=0.011400
Gen 127557 | best=0.011398
Gen 127562 | best=0.011397
Gen 127673 | best=0.011395
Gen 127730 | best=0.011393
Gen 128022 | best=0.011392
Gen 128289 | best=0.011390
Gen 128294 | best=0.011388
Gen 128359 | best=0.011387
Gen 128525 | best=0.011385
Gen 128698 | best=0.011384
Gen 128787 | best=0.011377
Gen 128796 | best=0.011376
Gen 128826 | best=0.011374
Gen 129272 | best=0.011372
Gen 129312 | best=0.011370
Gen 129371 | best=0.011369
Gen 129464 | best=0.011367
Gen 129468 | best=0.011364
Gen 129670 | best=0.011363
Gen 129839 | best=0.011362
Gen 129885 | best=0.011360
Gen 130306 | best=0.011358
Gen 130531 | best=0.011357
Gen 130591 | best=0.011356
Gen 130781 | best=0.011354
Gen 130825 | best=0.011353
Gen 131012 | best=0.011351
Gen 131043 | best=0.011347
Gen 131135 | best=0.011345
Gen 131281 | best=0.011342
Gen 131285 | best=0.011340
Gen 131603 | best=0.011337
Gen 131611 | best=0.011331
Gen 131640 | best=0.011330
Gen 131647 | best=0.011328
Gen 131746 | best=0.011325
Gen 131748 | best=0.011323
Gen 131926 | best=0.011321
Gen 131956 | best=0.011319
Gen 132058 | best=0.011317
Gen 132285 | best=0.011316
Gen 132541 | best=0.011314
Gen 132627 | best=0.011313
Gen 132836 | best=0.011311
Gen 132841 | best=0.011308
Gen 132883 | best=0.011305
Gen 132885 | best=0.011299
Gen 133020 | best=0.011295
Gen 133473 | best=0.011288
Gen 133497 | best=0.011284
Gen 133566 | best=0.011282
Gen 133580 | best=0.011281
Gen 133593 | best=0.011279
Gen 133601 | best=0.011278
Gen 133761 | best=0.011276
Gen 133914 | best=0.011275
Gen 134307 | best=0.011272
Gen 134479 | best=0.011271
Gen 134503 | best=0.011269
Gen 134560 | best=0.011268
Gen 134739 | best=0.011267
Gen 134817 | best=0.011265
Gen 134854 | best=0.011263
Gen 134984 | best=0.011262
Gen 135031 | best=0.011260
Gen 135289 | best=0.011259
Gen 135424 | best=0.011257
Gen 135562 | best=0.011256
Gen 135833 | best=0.011254
Gen 135921 | best=0.011253
Gen 135950 | best=0.011252
Gen 136083 | best=0.011250
Gen 136350 | best=0.011248
Gen 136631 | best=0.011246
Gen 136692 | best=0.011245
Gen 136715 | best=0.011244
Gen 136839 | best=0.011243
Gen 136967 | best=0.011240
Gen 137195 | best=0.011239
Gen 137237 | best=0.011238
Gen 137345 | best=0.011237
Gen 137347 | best=0.011235
Gen 137615 | best=0.011233
Gen 137681 | best=0.011230
Gen 137738 | best=0.011229
Gen 137863 | best=0.011228
Gen 137975 | best=0.011227
Gen 138080 | best=0.011224
Gen 138086 | best=0.011222
Gen 138143 | best=0.011221
Gen 138220 | best=0.011220
Gen 138432 | best=0.011219
Gen 138479 | best=0
